category,canonical_name_or_binding,role,persistence,status,notes,source_refs
"Primary DEM","dem","Authoritative source raster","Persisted scenario file","Current","Scenario root stores the primary DEM as dem.tif and uses it as the canonical grid/CRS for derived raster work.","docs/ADR.0002.scenario_filesystem_and_catalog.md:31-65; docs/DESIGN.md:480-483"
"Canonical hillshade","hillshade_raster","Derived terrain raster","Persisted scenario file","Current","Canonical default hillshade for the primary DEM; also listed as a canonical raster product.","docs/ADR.0002.scenario_filesystem_and_catalog.md:63-65; docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201"
"Slope raster","slope_raster","Derived terrain raster","Persisted GeoTIFF output","Current","Produced through map algebra / raster transform from the DEM.","docs/ADR.0016.map_algebra_dsl.md:57-68; docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201"
"Aspect raster","aspect_raster","Derived terrain raster","Persisted GeoTIFF output","Current","Produced through map algebra / raster transform from the DEM.","docs/ADR.0016.map_algebra_dsl.md:57-68; docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201"
"Threshold mask","threshold_mask","Boolean or byte mask raster","Persisted GeoTIFF output","Current / Canonical","Used for requests such as slope <= threshold masks.","docs/ADR.0042.non_deterministic_classification_and_product_graph.md:37-44; docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201"
"Combined mask","combined_mask","Composite eligibility / landing mask raster","Persisted GeoTIFF output","Current / Canonical","Represents combined constraints such as landing masks.","docs/ADR.0042.non_deterministic_classification_and_product_graph.md:37-44; docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201"
"Selection mask","selection_mask","Boolean or uint8 selection raster","Persisted GeoTIFF output","Current","Layer-published selection masks can use transparent background semantics with NODATA=0.","docs/DESIGN.md:484-488"
"Connected-component label raster","label_regions(mask) output","Integer region-id raster","Persisted GeoTIFF output","Current","Map algebra helper returns int32 connected-component ids.","docs/DESIGN.md:491-495"
"Region-size raster","region_sizes(mask) output","Integer per-region-size raster","Persisted GeoTIFF output","Current","Map algebra helper returns int32 rasters whose cells hold their component pixel count.","docs/DESIGN.md:491-495"
"Border mask","find_borders(mask) output","Boolean border raster","Persisted GeoTIFF output","Current","Map algebra helper returns an inner-border mask.","docs/DESIGN.md:491-495"
"Lighting / illumination raster","illumination_raster","Lighting-derived raster product","Persisted GeoTIFF output","Current / Canonical","Named in the canonical product catalog and supported by lighting-temporal raster workflows.","docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201; docs/ADR.0016.map_algebra_dsl.md:49-52"
"Earth visibility duration raster","earth_visibility_duration_raster","Lighting / visibility-derived raster product","Persisted GeoTIFF output","Current / Canonical","Canonical product type for Earth-visibility analysis outputs.","docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201"
"Combined sun-earth max contiguous duration raster","combined_sun_earth_max_contiguous_duration_raster","Lighting / visibility-derived raster product","Persisted GeoTIFF output","Current / Canonical","Canonical product type for combined illumination and Earth-visibility duration analysis.","docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201"
"PSR raster","psr_raster","Lighting-derived raster product","Persisted GeoTIFF output","Current / Canonical","Canonical product type for permanently shadowed region analysis.","docs/ADR.0042.non_deterministic_classification_and_product_graph.md:189-201"
"Lighting temporal input raster","lighting_raster / sun_fraction","Temporal raster input cube","Streamed temporal input, not necessarily persisted as a standalone file","Current","Native byte-encoded sun fraction signal used by map algebra / raster transform temporal workflows.","docs/ADR.0016.map_algebra_dsl.md:46-52; docs/DESIGN.md:473-479; docs/ADR.0018.scripted_map_algebra.md:113-122"
"Sun-over-horizon temporal input raster","sun_above_horizon / sun_over_horizon_deg","Temporal raster input cube","Streamed temporal input, not necessarily persisted as a standalone file","Current","Temporal horizon-derived input binding for sun-above-horizon margin/angle analysis.","docs/ADR.0016.map_algebra_dsl.md:49-52; docs/DESIGN.md:501-501; docs/ADR.0018.scripted_map_algebra.md:113-122"
"Earth-over-horizon temporal input raster","earth_above_horizon / earth_over_horizon_deg","Temporal raster input cube","Streamed temporal input, not necessarily persisted as a standalone file","Current","Temporal horizon-derived input binding for Earth-above-horizon margin/angle analysis.","docs/ADR.0016.map_algebra_dsl.md:49-52; docs/DESIGN.md:501-501; docs/ADR.0018.scripted_map_algebra.md:113-122"
"Station-over-horizon temporal input raster","station_over_horizon_deg","Temporal raster input cube","Streamed temporal input, not necessarily persisted as a standalone file","Current in ADR target model","Defined in the raster-transform ADR input-binding model for station visibility workflows.","docs/ADR.0018.scripted_map_algebra.md:113-122"
"Display derivative raster","display/{product_id}/.../*.cog.tif","Display-only warped / styled raster","Persisted scenario-managed derivative","Current","Includes warped ESRI:103878 display rasters, alpha-band validity masks, colormap/stretch outputs, and tiled/pyramid variants.","docs/DESIGN.md:226-231; docs/ADR.0002.scenario_filesystem_and_catalog.md:76-89"
"TRI raster","tri_raster","Derived terrain raster","Would be a persisted GeoTIFF output","Deferred / Planned","Listed as a deferred helper function for a later phase, not part of v1 core.","docs/ADR.0018.scripted_map_algebra.md:457-469"
"TPI raster","tpi_raster","Derived terrain raster","Would be a persisted GeoTIFF output","Deferred / Planned","Listed as a deferred helper function for a later phase, not part of v1 core.","docs/ADR.0018.scripted_map_algebra.md:457-469"
"Roughness raster","roughness_raster","Derived terrain raster","Would be a persisted GeoTIFF output","Deferred / Planned","Listed as a deferred helper function for a later phase, not part of v1 core.","docs/ADR.0018.scripted_map_algebra.md:457-469"
