source,component,classification,target_phase,rationale,
new_horizon,moonlib (.NET compute library),wrap-via-pythonnet,Phase 1,Explicit project decision: native compute calls should target moonlib from Python worker.,
new_horizon,"corelib, corelib1",obsolete,n/a,Not integration targets; treated as implementation detail/reference behind moonlib.,
new_horizon,horizon_runner,retire (direct integration),n/a,Standalone runner is replaced by FastAPI + worker job orchestration.,
new_horizon,CompareHorizons,retire (direct integration),n/a,Comparison utility; keep as reference for validation only.,
new_horizon,"analysis, python scripts",port-to-python (selective),Phase 4.5+,Keep only high-value logic/validation utilities that support regression or debugging.,
new_horizon,"checked-in output folders (output_*, horizons_2dems/)",do not use, selective),Phase 0.5/4.5,Candidate regression fixtures; subset must be curated and normalized.
moonlayers,moonlayers/moon_map.py (MoonMap AnyWidget),reuse-as-is,Phase 4,User requirement: widget can be taken as-is for marimo/web map workflows.,
moonlayers,src/ frontend widget code,reuse-as-is,Phase 4,Required runtime/static assets backing MoonMap.,
moonlayers,examples/*.mo.py,reuse-as-is (reference examples),Phase 4,Useful as integration/usage patterns for notebook-driven map control.,
moonlayers,moonlayers/geotiff_server.py,retire (direct reuse),n/a,Behavior is useful reference but serving should be rewritten in FastAPI file-ID model.,
lunarsiteeval,"src/lunarsiteeval/lunar_dataset.py, projection_info.py",port-to-python (selective),Phase 4.5,Useful dataset/projection patterns compatible with Python backend goals.,
lunarsiteeval,"site_analyzer.py, evaluator.py, CCL examples",port-to-python (selective),Phase 5+,Potential analytics features; not required for initial bridge/backend milestones.,
lunarsiteeval,tests/,reuse-as-is (reference tests),Phase 0.5/4.5,Reuse test ideas/cases to build regression coverage in current repo.,
lunar_analyst_net,mapviewer WinForms client,retire (runtime),n/a,Replaced by React/OpenLayers + Tauri architecture.,
lunar_analyst_net,moonlayers copy,retire (duplicate source),n/a,Canonical source is D:\\projects\\moonlayers; avoid dual ownership.,
lunar_analyst_net,test_mapviewer/test_data/* fixtures,reuse-as-is (selective),Phase 0.5,Good compact fixture candidates (GeoTIFF/GeoJSON/labels).,
lunar_analyst (current repo),"backend/contracts, backend/api, backend/jobs",reuse-as-is,Phase 1+,Current canonical implementation path for Stage 1 contracts and runtime adapter.,
